Algorithm,Subtype,train_acc,val_acc,train_prec,val_prec,train_rec,val_rec,train_f1,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.7197106690777577,0.7282608695652174,0.7681159420289855,0.7716049382716049,0.8961352657004831,0.9057971014492754,0.8272017837235229,0.8333333333333334,0.6486486486486487,0.7169811320754716,0.8507462686567164,0.7781569965870309
Naive Bayes,PR,0.6528028933092225,0.6467391304347826,0.6735966735966736,0.6666666666666666,0.9025069637883009,0.8983050847457628,0.7714285714285715,0.7653429602888087,0.6054054054054054,0.65,0.859504132231405,0.7402135231316725
Naive Bayes,HER2,0.47920433996383366,0.41847826086956524,0.22580645161290322,0.1724137931034483,0.7623762376237624,0.6451612903225806,0.3484162895927602,0.272108843537415,0.4648648648648649,0.19090909090909092,0.6774193548387096,0.29787234042553196
Logistic Regression,ER,0.7703435804701627,0.7445652173913043,0.7733333333333333,0.76,0.9806763285024155,0.9637681159420289,0.8647497337593184,0.8498402555910542,0.7189189189189189,0.7329545454545454,0.9626865671641791,0.8322580645161289
Logistic Regression,PR,0.7233273056057866,0.657608695652174,0.7229437229437229,0.6774193548387096,0.9303621169916435,0.8898305084745762,0.8136419001218026,0.7692307692307693,0.6108108108108108,0.6560509554140127,0.8512396694214877,0.7410071942446043
Logistic Regression,HER2,0.8318264014466547,0.8206521739130435,0.9,0.25,0.0891089108910891,0.03225806451612903,0.16216216216216217,0.05714285714285715,0.8432432432432433,1.0,0.06451612903225806,0.12121212121212122
Decision Tree,ER,0.7685352622061483,0.7336956521739131,0.7638376383763837,0.7458563535911602,1.0,0.9782608695652174,0.8661087866108786,0.8463949843260189,0.7189189189189189,0.7277777777777777,0.9776119402985075,0.8343949044585987
Decision Tree,PR,0.7450271247739603,0.6467391304347826,0.7252066115702479,0.6606060606060606,0.9777158774373259,0.923728813559322,0.8327402135231317,0.7703180212014133,0.6594594594594595,0.6705882352941176,0.9421487603305785,0.7835051546391754
Decision Tree,HER2,0.918625678119349,0.782608695652174,0.9117647058823529,0.3333333333333333,0.6138613861386139,0.2903225806451613,0.7337278106508875,0.3103448275862069,0.6810810810810811,0.15,0.1935483870967742,0.16901408450704225
Random Forest,ER,0.8227848101265823,0.7391304347826086,0.80859375,0.7528089887640449,1.0,0.9710144927536232,0.8941684665226782,0.8481012658227848,0.7135135135135136,0.7237569060773481,0.9776119402985075,0.8317460317460319
Random Forest,PR,0.9963833634719711,0.5978260869565217,0.9972144846796658,0.664179104477612,0.9972144846796658,0.7542372881355932,0.9972144846796658,0.7063492063492064,0.6108108108108108,0.6560509554140127,0.8512396694214877,0.7410071942446043
Random Forest,HER2,1.0,0.8206521739130435,1.0,0.0,1.0,0.0,1.0,0.0,0.8216216216216217,0.0,0.0,0.0
XGBoost,ER,1.0,0.6956521739130435,1.0,0.75625,1.0,0.8768115942028986,1.0,0.8120805369127516,0.6918918918918919,0.7305389221556886,0.9104477611940298,0.8106312292358804
XGBoost,PR,0.9981916817359855,0.6032608695652174,0.9972222222222222,0.6618705035971223,1.0,0.7796610169491526,0.9986091794158554,0.7159533073929962,0.6216216216216216,0.6711409395973155,0.8264462809917356,0.7407407407407408
XGBoost,HER2,1.0,0.7880434782608695,1.0,0.21428571428571427,1.0,0.0967741935483871,1.0,0.13333333333333333,0.8,0.125,0.03225806451612903,0.05128205128205128
SVM,ER,0.6473779385171791,0.6956521739130435,0.7517241379310344,0.777027027027027,0.7898550724637681,0.8333333333333334,0.7703180212014133,0.8041958041958043,0.6324324324324324,0.7391304347826086,0.7611940298507462,0.75
SVM,PR,0.7088607594936709,0.657608695652174,0.6911196911196911,0.6571428571428571,0.9972144846796658,0.9745762711864406,0.8164196123147092,0.7849829351535836,0.654054054054054,0.659217877094972,0.9752066115702479,0.7866666666666666
SVM,HER2,0.8354430379746836,0.8206521739130435,1.0,0.25,0.09900990099009901,0.03225806451612903,0.18018018018018017,0.05714285714285715,0.8162162162162162,0.2,0.03225806451612903,0.05555555555555555
