Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.7450271247739603,0.6842411305697642,0.7450271247739603,0.6730274420289082,0.75,0.6960227272727273,0.75,0.6771644255720688,0.7243243243243244,0.6717683397683397,0.7243243243243244,0.6499683831531674
Decision Tree,ER,0.7631103074141049,0.7396817507667075,0.7631103074141049,0.6962169851474255,0.7934782608695652,0.8155172413793103,0.7934782608695652,0.7390109890109889,0.6918918918918919,0.5541723927317148,0.6918918918918919,0.6009152866420292
Logistic Regression,ER,0.7486437613019892,0.6902745234362726,0.7486437613019892,0.6596541880521833,0.7391304347826086,0.5604395604395604,0.7391304347826086,0.6375000000000001,0.7189189189189189,0.6172260172260172,0.7189189189189189,0.6153419242026837
Random Forest,ER,0.7902350813743219,0.8191274285031805,0.7902350813743219,0.7319676458903986,0.8043478260869565,0.8448275862068965,0.8043478260869565,0.7527472527472526,0.7081081081081081,0.6428616852146264,0.7081081081081081,0.6457843010474589
SVM,ER,0.7486437613019892,0.5604674813363897,0.7486437613019892,0.6410310593154571,0.75,0.5625,0.75,0.6428571428571428,0.7243243243243244,0.524645726807889,0.7243243243243244,0.6085232567991189
XGBoost,ER,0.759493670886076,0.7691167214490523,0.759493670886076,0.671591544918453,0.7717391304347826,0.8250000000000001,0.7717391304347826,0.6909433962264152,,,,
Naive Bayes,PR,0.6473779385171791,0.596321164118013,0.6473779385171791,0.5522709343798728,0.6467391304347826,0.6170393374741201,0.6467391304347826,0.5468615521590741,0.6486486486486487,0.5895252619390551,0.6486486486486487,0.5560665750496259
Decision Tree,PR,0.7613019891500904,0.7566208146560426,0.7613019891500904,0.7576762188922389,0.7391304347826086,0.733004173136646,0.7391304347826086,0.7337412860942579,0.5945945945945946,0.584144588667615,0.5945945945945946,0.5885664615127923
Logistic Regression,PR,0.6347197106690777,0.6089455908945857,0.6347197106690777,0.6126594713677593,0.6467391304347826,0.6204565257360288,0.6467391304347826,0.6163375996559332,0.6378378378378379,0.6099785761371127,0.6378378378378379,0.6138889293606274
Random Forest,PR,0.8372513562386981,0.8467452408739776,0.8372513562386981,0.8278372071631809,0.8043478260869565,0.8216827058712893,0.8043478260869565,0.7883855275159621,0.6378378378378379,0.6029034749034748,0.6378378378378379,0.604171565057174
SVM,PR,0.6491862567811935,0.42144279599357765,0.6491862567811935,0.511091811808001,0.6413043478260869,0.41127126654064267,0.6413043478260869,0.5011517420097897,0.654054054054054,0.42778670562454346,0.654054054054054,0.5172584349054937
XGBoost,PR,0.7142857142857143,0.7071712393566698,0.7142857142857143,0.6851479508059383,0.6739130434782609,0.656634669678148,0.6739130434782609,0.6343510230179027,,,,
Naive Bayes,HER2,0.8137432188065099,0.730308229556141,0.8137432188065099,0.739915186857101,0.8260869565217391,0.6906628652886672,0.8260869565217391,0.7523291925465838,0.8324324324324325,0.7797518830305716,0.8324324324324325,0.7660141393079078
Decision Tree,HER2,0.8264014466546112,0.856812872058183,0.8264014466546112,0.7561235115493534,0.8478260869565217,0.871366802786452,0.8478260869565217,0.7915447876625266,0.8216216216216217,0.6914192881405997,0.8216216216216217,0.7509182773277729
Logistic Regression,HER2,0.8173598553345389,0.6680771331124984,0.8173598553345389,0.7352172231068888,0.8315217391304348,0.6914284026465028,0.8315217391304348,0.7550316088246679,0.8324324324324325,0.6929437545653763,0.8324324324324325,0.7563102925934785
Random Forest,HER2,0.8245931283905967,0.8555848707332417,0.8245931283905967,0.7520705936619138,0.8369565217391305,0.8636849607982894,0.8369565217391305,0.7678086180124224,0.8432432432432433,0.8680844779205436,0.8432432432432433,0.7811100012880428
SVM,HER2,0.8173598553345389,0.6680771331124984,0.8173598553345389,0.7352172231068888,0.8315217391304348,0.6914284026465028,0.8315217391304348,0.7550316088246679,0.8324324324324325,0.6929437545653763,0.8324324324324325,0.7563102925934785
XGBoost,HER2,0.8173598553345389,0.6680771331124984,0.8173598553345389,0.7352172231068888,0.8315217391304348,0.6914284026465028,0.8315217391304348,0.7550316088246679,,,,
Naive Bayes,Mol Subtype,0.6455696202531646,0.4874667522567026,0.6455696202531646,0.5361919871248763,0.657608695652174,0.5077198616600791,0.657608695652174,0.5510145675742407,0.6108108108108108,0.46909652509652516,0.6108108108108108,0.49711402579049646
Decision Tree,Mol Subtype,0.6672694394213382,0.7153127097372779,0.6672694394213382,0.5601073509020362,0.6956521739130435,0.6629196681245176,0.6956521739130435,0.6151633434344326,0.5945945945945946,0.4494874184529357,0.5945945945945946,0.4820423768716452
Logistic Regression,Mol Subtype,0.6491862567811935,0.4949101531380012,0.6491862567811935,0.5453401282262041,0.6684782608695652,0.52883033653956,0.6684782608695652,0.5705486542443063,0.6054054054054054,0.4551892933395824,0.6054054054054054,0.49476398155643436
Random Forest,Mol Subtype,0.6962025316455697,0.7845593432008573,0.6962025316455697,0.6083207036905552,0.7065217391304348,0.6748718944099379,0.7065217391304348,0.6152354087136696,0.6108108108108108,0.5233443970286076,0.6108108108108108,0.5128991830400281
SVM,Mol Subtype,0.650994575045208,0.4237939367382909,0.650994575045208,0.5133801687103503,0.6630434782608695,0.43962665406427215,0.6630434782608695,0.5287013356067064,0.6108108108108108,0.3730898466033601,0.6108108108108108,0.4632323598766552
XGBoost,Mol Subtype,0.674502712477396,0.6714003240004153,0.674502712477396,0.5672556448544063,0.6739130434782609,0.5879446640316205,0.6739130434782609,0.5711499151825967,,,,
