Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.8806509945750453,0.8883206009784651,0.8806509945750453,0.8831789031057917,0.875,0.8806206693203598,0.875,0.8770685129531707,0.8378378378378378,0.8512012806037131,0.8378378378378378,0.8419345425159378
Decision Tree,ER,0.9855334538878843,0.9858077012075451,0.9855334538878843,0.9853883526102047,0.9836956521739131,0.9840425531914893,0.9836956521739131,0.983508517578833,0.9891891891891892,0.9895971443141254,0.9891891891891892,0.989252497147234
Logistic Regression,ER,0.9819168173598554,0.9823433075164624,0.9819168173598554,0.9816873394338924,0.9836956521739131,0.9840425531914893,0.9836956521739131,0.983508517578833,1.0,1.0,1.0,1.0
Random Forest,ER,0.9855334538878843,0.9858077012075451,0.9855334538878843,0.9853883526102047,0.9836956521739131,0.9840425531914893,0.9836956521739131,0.983508517578833,0.972972972972973,0.9739451681897726,0.972972972972973,0.9725239003589519
SVM,ER,0.9819168173598554,0.9823433075164624,0.9819168173598554,0.9816873394338924,0.9836956521739131,0.9840425531914893,0.9836956521739131,0.983508517578833,1.0,1.0,1.0,1.0
XGBoost,ER,0.9837251356238698,0.9840714093340002,0.9837251356238698,0.9835403787991976,0.9891304347826086,0.9892857142857143,0.9891304347826086,0.9890487609912072,,,,
Naive Bayes,PR,0.7992766726943942,0.7990426427889535,0.7992766726943942,0.7991569252978423,0.8206521739130435,0.8183566691230655,0.8206521739130435,0.8182136339237789,0.8162162162162162,0.8194855488973136,0.8162162162162162,0.8174564174564174
Decision Tree,PR,0.8969258589511754,0.9096635263532236,0.8969258589511754,0.8920806627587705,0.8913043478260869,0.9029331841432224,0.8913043478260869,0.8865745328744663,0.9135135135135135,0.9158746532792332,0.9135135135135135,0.911564833598732
Logistic Regression,PR,0.8770343580470162,0.8903682333240082,0.8770343580470162,0.8705291062821513,0.875,0.8953900709219859,0.875,0.8673621196556975,0.9243243243243243,0.9294170978381504,0.9243243243243243,0.9221976796236909
Random Forest,PR,0.9258589511754068,0.9334584086799277,0.9258589511754068,0.9234813524907561,0.8967391304347826,0.9110599809584258,0.8967391304347826,0.8919048804593019,0.9297297297297298,0.9365469947559499,0.9297297297297298,0.9275491348125618
SVM,PR,0.9095840867992767,0.9172721765780157,0.9095840867992767,0.9064121069352642,0.9130434782608695,0.9234263465282284,0.9130434782608695,0.909807001261274,0.9081081081081082,0.9110487846336903,0.9081081081081082,0.9057860536121405
XGBoost,PR,0.9547920433996383,0.9577352697408078,0.9547920433996383,0.9539958601285881,0.9565217391304348,0.9592822636300897,0.9565217391304348,0.9558319729611661,,,,
Naive Bayes,HER2,0.7667269439421338,0.7888486099288577,0.7667269439421338,0.7762550691488496,0.7771739130434783,0.8023097826086957,0.7771739130434783,0.7879205403700198,0.745945945945946,0.7853851917681706,0.745945945945946,0.7623661627729424
Decision Tree,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,HER2,0.8173598553345389,0.6680771331124984,0.8173598553345389,0.7352172231068888,0.8315217391304348,0.6914284026465028,0.8315217391304348,0.7550316088246679,0.8324324324324325,0.6929437545653763,0.8324324324324325,0.7563102925934785
Random Forest,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9027027027027027,0.9055855855855856,0.9027027027027027,0.8881838360099231
SVM,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Naive Bayes,Mol Subtype,0.9855334538878843,0.9862334760018255,0.9855334538878843,0.9853421116275825,0.9836956521739131,0.9859189723320158,0.9836956521739131,0.9831275564308438,0.9513513513513514,0.9550136270724505,0.9513513513513514,0.9496002065907052
Decision Tree,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9675675675675676,0.9685776454420523,0.9675675675675676,0.9669940196255987
SVM,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
