Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.6557971014492754,0.6887578021729449,0.6557971014492754,0.6400851057339606,0.5434782608695652,0.6869957285239677,0.5434782608695652,0.5729166666666667,0.5567567567567567,0.6430530460087109,0.5567567567567567,0.5801815308561935
Decision Tree,ER,0.9710144927536232,0.971553738317757,0.9710144927536232,0.9710062037853012,0.9565217391304348,0.9574142156862745,0.9565217391304348,0.9568255940363409,0.9837837837837838,0.9839510418457788,0.9837837837837838,0.9838321358338811
KNN,ER,0.9577294685990339,0.9578603652237856,0.9577294685990339,0.957726447227348,0.9239130434782609,0.9291958041958042,0.9239130434782609,0.9253968253968254,0.9567567567567568,0.9575309443233972,0.9567567567567568,0.9570099885889359
Logistic Regression,ER,0.9710144927536232,0.9726027397260274,0.9710144927536232,0.9709901198234182,0.9782608695652174,0.9782467532467531,0.9782608695652174,0.9780975219824141,0.9945945945945946,0.9946985446985447,0.9945945945945946,0.994610711944627
Random Forest,ER,0.9903381642512077,0.9905213270142179,0.9903381642512077,0.990337262224297,0.9782608695652174,0.9782467532467531,0.9782608695652174,0.9780975219824141,0.9297297297297298,0.9331640260950606,0.9297297297297298,0.9268678817065912
SVM,ER,0.9710144927536232,0.9726027397260274,0.9710144927536232,0.9709901198234182,0.9836956521739131,0.9840425531914893,0.9836956521739131,0.983508517578833,1.0,1.0,1.0,1.0
XGBoost,ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Naive Bayes,PR,0.701627486437613,0.6885026787173836,0.701627486437613,0.6869092102983734,0.6739130434782609,0.6591671994884911,0.6739130434782609,0.6597235986233985,0.6972972972972973,0.6931171171171172,0.6972972972972973,0.6948759932237509
Decision Tree,PR,0.8788426763110307,0.883301746897049,0.8788426763110307,0.8747152653792889,0.8967391304347826,0.9039622714074188,0.8967391304347826,0.893205328074547,0.8648648648648649,0.8641504441504441,0.8648648648648649,0.8621774541624555
KNN,PR,0.8806509945750453,0.8931602510779377,0.8806509945750453,0.8746229563207248,0.875,0.8905275779376498,0.875,0.8682826795667262,0.9027027027027027,0.9044754678342466,0.9027027027027027,0.9005104377985734
Logistic Regression,PR,0.8770343580470162,0.8903682333240082,0.8770343580470162,0.8705291062821513,0.875,0.8953900709219859,0.875,0.8673621196556975,0.9243243243243243,0.9294170978381504,0.9243243243243243,0.9221976796236909
Random Forest,PR,0.9945750452079566,0.994620003396841,0.9945750452079566,0.9945651953341694,1.0,1.0,1.0,1.0,0.8810810810810811,0.8803921151678823,0.8810810810810811,0.8806246527558003
SVM,PR,0.9095840867992767,0.9172721765780157,0.9095840867992767,0.9064121069352642,0.9130434782608695,0.9234263465282284,0.9130434782608695,0.909807001261274,0.9081081081081082,0.9110487846336903,0.9081081081081082,0.9057860536121405
XGBoost,PR,0.9710669077757685,0.9723013863773358,0.9710669077757685,0.9707600377929033,0.9728260869565217,0.9739307175680452,0.9728260869565217,0.9725730544731881,,,,
Naive Bayes,HER2,0.6283185840707964,0.6565695174390828,0.6283185840707964,0.610760272287378,0.5054347826086957,0.7402729743083004,0.5054347826086957,0.565302268165424,0.4648648648648649,0.6712568707414068,0.4648648648648649,0.5322651252812958
Decision Tree,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8756756756756757,0.8927865796831315,0.8756756756756757,0.8816842845011859
KNN,HER2,0.9646017699115044,0.9655131826741996,0.9646017699115044,0.9645844351726706,0.9184782608695652,0.9174924712968192,0.9184782608695652,0.9179428214551879,0.8108108108108109,0.833205964585275,0.8108108108108109,0.8199543459800654
Logistic Regression,HER2,0.6792035398230089,0.6866017002711464,0.6792035398230089,0.6759920703582676,0.75,0.8097080937638212,0.75,0.7717465461367902,0.6702702702702703,0.7427016084910822,0.6702702702702703,0.6999197846097639
Random Forest,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8594594594594595,0.8492492492492493,0.8594594594594595,0.8254954954954955
SVM,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9783783783783784,0.9782134920065955,0.9783783783783784,0.9780877651845393
XGBoost,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Naive Bayes,Mol Subtype,0.9168173598553345,0.9211941929045255,0.9168173598553345,0.9179597788705588,0.8967391304347826,0.9056762212890349,0.8967391304347826,0.9001772935405445,0.8216216216216217,0.8602638523691156,0.8216216216216217,0.8363952422775952
Decision Tree,Mol Subtype,0.9855334538878843,0.985900219726752,0.9855334538878843,0.9853858586626107,0.9891304347826086,0.9894463591375044,0.9891304347826086,0.9890485080293522,0.9405405405405406,0.9418868996874111,0.9405405405405406,0.9383350764689506
KNN,Mol Subtype,0.9801084990958409,0.9802331417717907,0.9801084990958409,0.9796961026969269,0.9836956521739131,0.9837398373983739,0.9836956521739131,0.9836333005587664,0.9621621621621622,0.9636622757210991,0.9621621621621622,0.9612012193681887
Logistic Regression,Mol Subtype,0.9945750452079566,0.9949819168173599,0.9945750452079566,0.9946156266879593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9513513513513514,0.9547018092472637,0.9513513513513514,0.9503153239995346
SVM,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
