Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.72875226039783,0.6697474894945623,0.72875226039783,0.678966361789167,0.7445652173913043,0.6969883761887988,0.7445652173913043,0.6979182930002602,0.6972972972972973,0.6394293247951784,0.6972972972972973,0.6494709474575245
Decision Tree,ER,0.9855334538878843,0.9858077012075451,0.9855334538878843,0.9853883526102047,0.9836956521739131,0.9840425531914893,0.9836956521739131,0.983508517578833,0.9891891891891892,0.9895971443141254,0.9891891891891892,0.989252497147234
Logistic Regression,ER,0.7359855334538878,0.668528978474729,0.7359855334538878,0.6718150792743854,0.7717391304347826,0.7855805243445693,0.7717391304347826,0.6983933787731256,0.7351351351351352,0.7034749034749035,0.7351351351351352,0.6636951132255923
Random Forest,ER,0.9855334538878843,0.9858077012075451,0.9855334538878843,0.9853883526102047,0.9836956521739131,0.9840425531914893,0.9836956521739131,0.983508517578833,1.0,1.0,1.0,1.0
SVM,ER,0.7486437613019892,0.5604674813363897,0.7486437613019892,0.6410310593154571,0.75,0.5625,0.75,0.6428571428571428,0.7243243243243244,0.524645726807889,0.7243243243243244,0.6085232567991189
XGBoost,ER,0.9837251356238698,0.9840714093340002,0.9837251356238698,0.9835403787991976,0.9891304347826086,0.9892857142857143,0.9891304347826086,0.9890487609912072,,,,
Naive Bayes,PR,0.6401446654611211,0.5883408696432945,0.6401446654611211,0.5688862501603621,0.6358695652173914,0.5873738456590656,0.6358695652173914,0.5596877211362614,0.6216216216216216,0.5551468925702054,0.6216216216216216,0.5572055842281849
Decision Tree,PR,0.8969258589511754,0.9096635263532236,0.8969258589511754,0.8920806627587705,0.8913043478260869,0.9029331841432224,0.8913043478260869,0.8865745328744663,0.9027027027027027,0.9031995450600102,0.9027027027027027,0.9010162162162162
Logistic Regression,PR,0.674502712477396,0.6662141394971324,0.674502712477396,0.6038170211070096,0.657608695652174,0.6445217000136908,0.657608695652174,0.5741516587858232,0.6486486486486487,0.6012185298805464,0.6486486486486487,0.580947766960109
Random Forest,PR,0.9240506329113924,0.9320054294643139,0.9240506329113924,0.9215395901768763,0.9021739130434783,0.915121483375959,0.9021739130434783,0.8979170795870196,0.9297297297297298,0.9340132585415604,0.9297297297297298,0.9279540409975193
SVM,PR,0.6491862567811935,0.42144279599357765,0.6491862567811935,0.511091811808001,0.6413043478260869,0.41127126654064267,0.6413043478260869,0.5011517420097897,0.654054054054054,0.42778670562454346,0.654054054054054,0.5172584349054937
XGBoost,PR,0.9547920433996383,0.9577352697408078,0.9547920433996383,0.9539958601285881,0.9565217391304348,0.9592822636300897,0.9565217391304348,0.9558319729611661,,,,
Naive Bayes,HER2,0.7902350813743219,0.722560983320477,0.7902350813743219,0.744348602798967,0.8043478260869565,0.7311663216011042,0.8043478260869565,0.7571049840933192,0.7837837837837838,0.7178600783251946,0.7837837837837838,0.7455268989011321
Decision Tree,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,HER2,0.8119349005424955,0.6672628637185599,0.8119349005424955,0.7325241018866427,0.8315217391304348,0.6914284026465028,0.8315217391304348,0.7550316088246679,0.8432432432432433,0.8293340301627593,0.8432432432432433,0.7890969861119115
Random Forest,HER2,0.9981916817359855,0.998195673608533,0.9981916817359855,0.9981881825027102,1.0,1.0,1.0,1.0,0.9135135135135135,0.9216534181240064,0.9135135135135135,0.9006078542310427
SVM,HER2,0.8173598553345389,0.6680771331124984,0.8173598553345389,0.7352172231068888,0.8315217391304348,0.6914284026465028,0.8315217391304348,0.7550316088246679,0.8324324324324325,0.6929437545653763,0.8324324324324325,0.7563102925934785
XGBoost,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Naive Bayes,Mol Subtype,0.620253164556962,0.49547146093512906,0.620253164556962,0.5338004710374664,0.6304347826086957,0.49591409114719753,0.6304347826086957,0.5405344202898552,0.572972972972973,0.5248370165036832,0.572972972972973,0.4903767389233227
Decision Tree,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,Mol Subtype,0.6618444846292948,0.5570315760189178,0.6618444846292948,0.5499834841958667,0.6630434782608695,0.5250537505972288,0.6630434782608695,0.5380283094098883,0.6054054054054054,0.44797297297297295,0.6054054054054054,0.4820341448715151
Random Forest,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9567567567567568,0.9578376048964284,0.9567567567567568,0.955899865382624
SVM,Mol Subtype,0.650994575045208,0.4237939367382909,0.650994575045208,0.5133801687103503,0.6630434782608695,0.43962665406427215,0.6630434782608695,0.5287013356067064,0.6108108108108108,0.3730898466033601,0.6108108108108108,0.4632323598766552
XGBoost,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
