Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.7850098619329389,0.7668859788817199,0.7850098619329389,0.7655892543764397,0.8115942028985508,0.7988812611238238,0.8115942028985508,0.7996735577165546,0.7545126353790613,0.735308093430837,0.7545126353790613,0.7404242757440261
Decision Tree,ER,0.9625246548323472,0.9622821855282588,0.9625246548323472,0.9622806860658523,0.9782608695652174,0.9788703778951645,0.9782608695652174,0.9779137409057045,0.9386281588447654,0.9406652913873129,0.9386281588447654,0.9392790491975592
KNN,ER,0.9546351084812623,0.9543439760114277,0.9546351084812623,0.9540893454779195,0.9492753623188406,0.9498924601499527,0.9492753623188406,0.9495204088776866,0.9602888086642599,0.9604970468480156,0.9602888086642599,0.9603771971181224
Logistic Regression,ER,0.9763313609467456,0.9764825338595831,0.9763313609467456,0.9760799130877871,0.9855072463768116,0.9857806945583812,0.9855072463768116,0.9853566723131941,0.9927797833935018,0.9927797833935018,0.9927797833935018,0.9927797833935018
Random Forest,ER,0.9822485207100592,0.9826624153049024,0.9822485207100592,0.9820349612739686,0.9855072463768116,0.9857806945583812,0.9855072463768116,0.9853566723131941,0.9530685920577617,0.9530942662677557,0.9530685920577617,0.9522635231823502
SVM,ER,0.980276134122288,0.9807857947392831,0.980276134122288,0.9800107396966036,0.9855072463768116,0.9857806945583812,0.9855072463768116,0.9853566723131941,0.9963898916967509,0.9964074164943394,0.9963898916967509,0.9963816607996956
XGBoost,ER,0.9822485207100592,0.9826624153049024,0.9822485207100592,0.9820349612739686,0.9855072463768116,0.9857806945583812,0.9855072463768116,0.9853566723131941,,,,
Naive Bayes,PR,0.6725838264299803,0.6542527963260324,0.6725838264299803,0.6501806902905805,0.6376811594202898,0.6200354465528809,0.6376811594202898,0.6255499482401656,0.6642599277978339,0.6492626085713264,0.6642599277978339,0.6528486716220286
Decision Tree,PR,0.9072978303747534,0.9152602759498588,0.9072978303747534,0.9041198703312291,0.9057971014492754,0.9129605948659657,0.9057971014492754,0.9022392792616739,0.8844765342960289,0.8896737252270678,0.8844765342960289,0.8803107524598288
KNN,PR,0.8757396449704142,0.8906320940007586,0.8757396449704142,0.8691233822692622,0.8913043478260869,0.9066858080393765,0.8913043478260869,0.8851232996879443,0.8916967509025271,0.8994981068944263,0.8916967509025271,0.8873277449248718
Logistic Regression,PR,0.873767258382643,0.8875814822846639,0.873767258382643,0.8672088053175558,0.8913043478260869,0.9066858080393765,0.8913043478260869,0.8851232996879443,0.9061371841155235,0.9154999853247631,0.9061371841155235,0.9023507122682222
Random Forest,PR,0.9289940828402367,0.936055444767727,0.9289940828402367,0.9269312236760683,0.8985507246376812,0.9120772946859904,0.8985507246376812,0.8932971014492754,0.8808664259927798,0.8884872446624649,0.8808664259927798,0.8757972259661685
SVM,PR,0.8796844181459567,0.8986488897043459,0.8796844181459567,0.8726397116203598,0.8913043478260869,0.9066858080393765,0.8913043478260869,0.8851232996879443,0.9061371841155235,0.9154999853247631,0.9061371841155235,0.9023507122682222
XGBoost,PR,0.9329388560157791,0.9392724085031777,0.9329388560157791,0.9311249910763638,0.9130434782608695,0.9231743351625159,0.9130434782608695,0.9093701828994981,,,,
Naive Bayes,HER2,0.7948717948717948,0.7771460567687469,0.7948717948717948,0.7846171680287487,0.7246376811594203,0.7152787242742265,0.7246376811594203,0.7198487712665407,0.7833935018050542,0.7649295587654241,0.7833935018050542,0.7731142727364706
Decision Tree,HER2,0.9980276134122288,0.9980490523968785,0.9980276134122288,0.9980318156917554,0.9927536231884058,0.9928166351606805,0.9927536231884058,0.9926923558568201,0.924187725631769,0.9213723187222694,0.924187725631769,0.9217769740776167
KNN,HER2,0.8599605522682445,0.8803769809929973,0.8599605522682445,0.8206785881204486,0.8333333333333334,0.8074074074074074,0.8333333333333334,0.7755466309683178,0.8375451263537906,0.8188279563730828,0.8375451263537906,0.7836677621735101
Logistic Regression,HER2,0.8205128205128205,0.6732412886259039,0.8205128205128205,0.7396171903214157,0.8260869565217391,0.6824196597353498,0.8260869565217391,0.7474120082815734,0.8267148014440433,0.683457362926664,0.8267148014440433,0.748291262967138
Random Forest,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9133574007220217,0.9098766306005399,0.9133574007220217,0.9072460350743139
SVM,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9855595667870036,0.9854963746032651,0.9855595667870036,0.9854373374031932
XGBoost,HER2,0.9960552268244576,0.9960741013372593,0.9960552268244576,0.9960380413617824,1.0,1.0,1.0,1.0,,,,
Naive Bayes,Mol Subtype,0.8994082840236687,0.9102329437191211,0.8994082840236687,0.9036473476380806,0.8695652173913043,0.88765045695992,0.8695652173913043,0.8763916251699112,0.8447653429602888,0.8842330372550473,0.8447653429602888,0.8574922827394966
Decision Tree,Mol Subtype,0.9822485207100592,0.9825292352798239,0.9822485207100592,0.9820388786898628,0.9927536231884058,0.9928323881537491,0.9927536231884058,0.9926929067342466,0.9638989169675091,0.9664954179394613,0.9638989169675091,0.9634346701398395
KNN,Mol Subtype,0.9783037475345168,0.9783234915873996,0.9783037475345168,0.9778449038064422,0.9782608695652174,0.9785725416861463,0.9782608695652174,0.9780015682695737,0.9675090252707581,0.9684809775062483,0.9675090252707581,0.966739455615041
Logistic Regression,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9530685920577617,0.9560491300775861,0.9530685920577617,0.9511010253451211
SVM,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
