Algorithm,Subtype,train_acc,val_acc,train_prec,val_prec,train_rec,val_rec,train_f1,val_f1,test_acc,test_prec,test_rec,test_f1,test_aucroc
Logistic Regression,ER,0.6754658385093167,0.6930232558139535,0.6764944864828548,0.6931697618070146,0.6754658385093167,0.6930232558139535,0.6753914957854884,0.693036537950687,0.641860465116279,0.6413107375204457,0.641860465116279,0.6404536977124806,0.6863612701717855
Logistic Regression,PR,0.6276978417266187,0.5645161290322581,0.6286813664725183,0.567778159301786,0.6276978417266187,0.5645161290322581,0.6264705822566827,0.5633690241531639,0.5591397849462365,0.5609436435124509,0.5591397849462365,0.5558532323820617,0.6277026245808764
Logistic Regression,HER2,0.6628895184135978,0.6779661016949152,0.6637383771755906,0.6777997896641964,0.6628895184135978,0.6779661016949152,0.6627812906699567,0.6776878465984536,0.6186440677966102,0.6186220559101915,0.6186440677966102,0.6182325030089958,0.6756465517241379
Logistic Regression,Mol Subtype,0.5787119856887298,0.49865951742627346,0.5729208938862043,0.49209794854524835,0.5787119856887298,0.49865951742627346,0.5727297876514414,0.4911210911158931,0.5281501340482574,0.5257910215255377,0.5281501340482574,0.5267656131291528,
Naive Bayes,ER,0.6149068322981367,0.6790697674418604,0.6154162423869814,0.6843662400223598,0.6149068322981367,0.6790697674418604,0.6132253495992376,0.6774103484810132,0.5488372093023256,0.5530417533739793,0.5488372093023256,0.5482513977192605,0.6149574874197467
Naive Bayes,PR,0.5719424460431655,0.5483870967741935,0.5732914550078962,0.5487228074363641,0.5719424460431655,0.5483870967741935,0.5709436080899346,0.5484915763353794,0.5806451612903226,0.5807946252751071,0.5806451612903226,0.5804511278195488,0.589894785524338
Naive Bayes,HER2,0.5736543909348442,0.6440677966101694,0.5789540409686391,0.6477826793591827,0.5736543909348442,0.6440677966101694,0.5693366809418025,0.6390678710138242,0.6271186440677966,0.6297921711057305,0.6271186440677966,0.6238714914762243,0.6248563218390804
Naive Bayes,Mol Subtype,0.40518783542039355,0.3646112600536193,0.4125267364336401,0.3597605065345882,0.40518783542039355,0.3646112600536193,0.39032821759925684,0.34782063817500547,0.3646112600536193,0.37762447597250376,0.3646112600536193,0.3510315831191164,
Random Forest,ER,0.922360248447205,0.7209302325581395,0.9284985073830889,0.7232856657983734,0.922360248447205,0.7209302325581395,0.9221892820250104,0.7198382204246713,0.7023255813953488,0.703168992248062,0.7023255813953488,0.7005276529216338,0.7749436057608885
Random Forest,PR,0.9964028776978417,0.6236559139784946,0.9964288497000233,0.6236559139784946,0.9964028776978417,0.6236559139784946,0.996402970791069,0.6236559139784946,0.6935483870967742,0.6935707678075856,0.6935483870967742,0.6935395288336464,0.7178286507110648
Random Forest,HER2,1.0,0.8389830508474576,1.0,0.8391729982466395,1.0,0.8389830508474576,1.0,0.8390177652454065,0.8305084745762712,0.830554783736223,0.8305084745762712,0.8304719331047461,0.899389367816092
Random Forest,Mol Subtype,0.44364937388193204,0.3941018766756032,0.46043036650138275,0.38405868308192603,0.44364937388193204,0.3941018766756032,0.425776022668285,0.36822507371094126,0.46112600536193027,0.49731540266599505,0.46112600536193027,0.44315276916453084,
