Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.2713178294573643,0.7039556470507711,0.2713178294573643,0.14092281386217406,0.2463768115942029,0.4365942028985507,0.2463768115942029,0.1098714793546623,0.26618705035971224,0.43591793232081005,0.26618705035971224,0.13602299380328997
Decision Tree,ER,0.7922480620155039,0.7758121334833672,0.7922480620155039,0.7721590599033903,0.7753623188405797,0.7552614996849402,0.7753623188405797,0.759328338714565,0.7194244604316546,0.665907502569373,0.7194244604316546,0.6703716063169158
KNN,ER,0.7844961240310078,0.7723216060425362,0.7844961240310078,0.7448353168104233,0.7971014492753623,0.7888773867034736,0.7971014492753623,0.7582860743541273,0.7122302158273381,0.6414220896010464,0.7122302158273381,0.650557814617871
Logistic Regression,ER,0.7457364341085271,0.6958855098389981,0.7457364341085271,0.6545521878812602,0.7681159420289855,0.7640601341120484,0.7681159420289855,0.6911973027197149,0.7122302158273381,0.5341726618705036,0.7122302158273381,0.6104830421377183
Random Forest,ER,0.813953488372093,0.8511627906976744,0.813953488372093,0.7711332595053526,0.8260869565217391,0.8586956521739131,0.8260869565217391,0.787651628731089,0.7338129496402878,0.6766586730615508,0.7338129496402878,0.6452209026233782
SVM,ER,0.8031007751937984,0.8290155941647641,0.8031007751937984,0.7571234305241191,0.8260869565217391,0.8586956521739131,0.8260869565217391,0.787651628731089,0.6906474820143885,0.5879538229881212,0.6906474820143885,0.6198699509582718
XGBoost,ER,0.8945736434108527,0.9046470994568677,0.8945736434108527,0.8851853470886519,0.8913043478260869,0.9050054804530508,0.8913043478260869,0.8795785709818752,,,,
CatBoost,ER,0.8945736434108527,0.9046470994568677,0.8945736434108527,0.8851853470886519,0.8913043478260869,0.9050054804530508,0.8913043478260869,0.8795785709818752,0.7266187050359713,0.6658427104470269,0.7266187050359713,0.6599128493307305
Naive Bayes,PR,0.35968992248062015,0.5364294400241874,0.35968992248062015,0.20627656201705005,0.3333333333333333,0.781021897810219,0.3333333333333333,0.1755903670797288,0.3597122302158273,0.4480415667466027,0.3597122302158273,0.21420074054095864
Decision Tree,PR,0.7131782945736435,0.7294817177745765,0.7131782945736435,0.6658075650807044,0.7536231884057971,0.7614560698421245,0.7536231884057971,0.7186859105824446,0.6690647482014388,0.6615169578622817,0.6690647482014388,0.6038248840180193
KNN,PR,0.7457364341085271,0.738840272378125,0.7457364341085271,0.7364920102698497,0.7391304347826086,0.7273795534665101,0.7391304347826086,0.7180306905370845,0.5827338129496403,0.5477879378739998,0.5827338129496403,0.5560964866732795
Logistic Regression,PR,0.6728682170542636,0.653253538155181,0.6728682170542636,0.6306907739779342,0.7536231884057971,0.7553219727132771,0.7536231884057971,0.7229060794278186,0.6546762589928058,0.6282872861374766,0.6546762589928058,0.6055814688908214
