Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.6118012422360248,0.6124929035851623,0.6118012422360248,0.6097651358867213,0.6372093023255814,0.641072563222773,0.6372093023255814,0.6355708520668467,0.5581395348837209,0.559858460374138,0.5581395348837209,0.5584072769474586
Decision Tree,ER,0.9099378881987578,0.9101427282473167,0.9099378881987578,0.9098996242152961,0.958139534883721,0.9581846136508166,0.958139534883721,0.9581413462017415,0.7116279069767442,0.7114256825075834,0.7116279069767442,0.7114651122394982
Logistic Regression,ER,0.6847826086956522,0.6877329192546584,0.6847826086956522,0.6842233820996066,0.7209302325581395,0.7213812544045102,0.7209302325581395,0.7209060832186239,0.6139534883720931,0.6132748720991186,0.6139534883720931,0.6132816503740892
Random Forest,ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7488372093023256,0.748702534084594,0.7488372093023256,0.7485096056622852
SVM,ER,0.9968944099378882,0.9969140035660404,0.9968944099378882,0.9968945897150221,0.9906976744186047,0.9908652838885397,0.9906976744186047,0.990695660928219,0.8465116279069768,0.8589571522233792,0.8465116279069768,0.8442297273727738
XGBoost,ER,0.9440993788819876,0.9462601652324362,0.9440993788819876,0.9440756528785034,0.9395348837209302,0.9404498466982562,0.9395348837209302,0.939482488741377,,,,
Naive Bayes,PR,0.5827338129496403,0.5827487769933812,0.5827338129496403,0.5822579446648349,0.5591397849462365,0.5608055538931115,0.5591397849462365,0.5589358718032884,0.5752688172043011,0.5759803921568627,0.5752688172043011,0.5742720556279878
Decision Tree,PR,0.9154676258992805,0.9154762835694178,0.9154676258992805,0.9154689932458664,0.9247311827956989,0.9248758154288108,0.9247311827956989,0.9246963078659158,0.5645161290322581,0.5645833333333333,0.5645161290322581,0.5644028103044496
Logistic Regression,PR,0.658273381294964,0.6588310746751436,0.658273381294964,0.6576973006306103,0.6021505376344086,0.6028915878368297,0.6021505376344086,0.6022425472232998,0.5913978494623656,0.5929453262786596,0.5913978494623656,0.589690003483107
Random Forest,PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7258064516129032,0.7290103189493432,0.7258064516129032,0.724844089920232
SVM,PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7849462365591398,0.8496240601503761,0.7849462365591398,0.7745181234088981
XGBoost,PR,1.0,1.0,1.0,1.0,0.9946236559139785,0.9946790821416694,0.9946236559139785,0.9946225665456223,,,,
Naive Bayes,HER2,0.6019830028328612,0.6045338621365437,0.6019830028328612,0.6007945866148219,0.614406779661017,0.6140307253274588,0.614406779661017,0.6136768975940703,0.597457627118644,0.5974067735707718,0.597457627118644,0.5974214734324447
Decision Tree,HER2,0.9815864022662889,0.9815893815920425,0.9815864022662889,0.9815859218476166,0.9703389830508474,0.9720549096512117,0.9703389830508474,0.9703427109818762,0.7288135593220338,0.7289571962079862,0.7288135593220338,0.7288330369088096
Logistic Regression,HER2,0.6628895184135978,0.66303397025897,0.6628895184135978,0.6629138682878697,0.6864406779661016,0.6880200640528802,0.6864406779661016,0.6864406779661016,0.6313559322033898,0.6313123869498225,0.6313559322033898,0.6313228230381337
Random Forest,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8305084745762712,0.8306521114622236,0.8305084745762712,0.8305206480680059
SVM,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9110169491525424,0.912381831605523,0.9110169491525424,0.910893661794643
XGBoost,HER2,0.9971671388101983,0.9971833729717445,0.9971671388101983,0.9971672525030155,1.0,1.0,1.0,1.0,,,,
Naive Bayes,Mol Subtype,0.40429338103756707,0.4140614479837888,0.40429338103756707,0.3746365428566772,0.34584450402144773,0.33137024159356904,0.34584450402144773,0.3191143358355529,0.38337801608579086,0.41624732509056406,0.38337801608579086,0.355324861350653
Decision Tree,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7533512064343163,0.7481181430675091,0.7533512064343163,0.7497843295116278
Logistic Regression,Mol Subtype,0.6135957066189625,0.6067995851502741,0.6135957066189625,0.6071799553857795,0.6353887399463807,0.6326334716914541,0.6353887399463807,0.6323111811305614,0.579088471849866,0.5792867160501147,0.579088471849866,0.5781080430535704
Random Forest,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8176943699731903,0.8107643912467144,0.8176943699731903,0.8115324986266439
SVM,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9142091152815014,0.9149350436133838,0.9142091152815014,0.9128969251630735
XGBoost,Mol Subtype,0.9955277280858676,0.9955439267743174,0.9955277280858676,0.995521520692423,0.9973190348525469,0.9973461153085819,0.9973190348525469,0.9973186709766074,,,,
