Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.6191819464033851,0.6195498354489892,0.6191819464033851,0.618530536711871,0.5932203389830508,0.5930108619977943,0.5932203389830508,0.5920463717073887,0.6455696202531646,0.6469272111333271,0.6455696202531646,0.6458348746357263
Decision Tree,ER,0.9139633286318759,0.9212756415014971,0.9139633286318759,0.9135264011320863,0.9279661016949152,0.9368398427904692,0.9279661016949152,0.9274555563646039,0.70042194092827,0.7216002758114614,0.70042194092827,0.6968765748828444
Logistic Regression,ER,0.6727785613540197,0.6729207931552684,0.6727785613540197,0.6725870132834519,0.6610169491525424,0.6610169491525424,0.6610169491525424,0.6610169491525424,0.679324894514768,0.679077831036368,0.679324894514768,0.6791529323174893
Random Forest,ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8059071729957806,0.8089867703624843,0.8059071729957806,0.8060108550614881
SVM,ER,0.9492242595204513,0.9509321047419437,0.9492242595204513,0.9491597072280354,0.9703389830508474,0.9703664029481873,0.9703389830508474,0.9703352519041795,0.8312236286919831,0.8343663818640586,0.8312236286919831,0.8313137870099895
XGBoost,ER,0.9675599435825106,0.9677360797393544,0.9675599435825106,0.9675536167756826,0.961864406779661,0.9619058055717903,0.961864406779661,0.961867831865722,,,,
Naive Bayes,PR,0.601957585644372,0.6210275830978736,0.601957585644372,0.5873363802641572,0.5588235294117647,0.5969721221822062,0.5588235294117647,0.5371227252227189,0.5414634146341464,0.5286563192904656,0.5414634146341464,0.5158498845149376
Decision Tree,PR,0.9510603588907015,0.9512255243141959,0.9510603588907015,0.9510517603721064,0.9852941176470589,0.9853310956877915,0.9852941176470589,0.9852887882702549,0.6146341463414634,0.6237600653518497,0.6146341463414634,0.6149459532719123
Logistic Regression,PR,0.6460032626427407,0.6466129710158054,0.6460032626427407,0.6453953079275971,0.6421568627450981,0.6430034277862088,0.6421568627450981,0.6424414469969214,0.5804878048780487,0.5885507570672036,0.5804878048780487,0.5809670648115468
Random Forest,PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6878048780487804,0.6969344372342806,0.6878048780487804,0.6881615366039419
SVM,PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8146341463414634,0.8615934959349594,0.8146341463414634,0.8042797405485919
XGBoost,PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Naive Bayes,HER2,0.5909090909090909,0.6018875420875421,0.5909090909090909,0.5816016894733141,0.5797665369649806,0.589876954404464,0.5797665369649806,0.5685242733658893,0.5797665369649806,0.5821400987518917,0.5797665369649806,0.5691333648714416
Decision Tree,HER2,0.9935064935064936,0.9935099983947611,0.9935064935064936,0.9935065701776056,1.0,1.0,1.0,1.0,0.7626459143968871,0.7672256444003934,0.7626459143968871,0.7623223134742767
Logistic Regression,HER2,0.7051948051948052,0.7055446462864403,0.7051948051948052,0.7049394143280876,0.6809338521400778,0.6829722260809706,0.6809338521400778,0.6799159272031159,0.6498054474708171,0.6507047962913645,0.6498054474708171,0.6499008972277148
Random Forest,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8638132295719845,0.8659345269160097,0.8638132295719845,0.8638132295719845
SVM,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9299610894941635,0.9327609839197294,0.9299610894941635,0.9299504852502037
XGBoost,HER2,0.9987012987012988,0.9987046287046286,0.9987012987012988,0.9987012789848057,1.0,1.0,1.0,1.0,,,,
Naive Bayes,Mol Subtype,0.40931372549019607,0.4363652667938179,0.40931372549019607,0.40237067642465635,0.35049019607843135,0.3946810928571976,0.35049019607843135,0.3496183936902318,0.40441176470588236,0.4404263507204684,0.40441176470588236,0.39958260604708196
Decision Tree,Mol Subtype,0.9918300653594772,0.9918481768346535,0.9918300653594772,0.991827144821475,0.9803921568627451,0.9815819035947712,0.9803921568627451,0.980590428304205,0.7034313725490197,0.7028167432589597,0.7034313725490197,0.7019460053094297
Logistic Regression,Mol Subtype,0.5612745098039216,0.5588820296913721,0.5612745098039216,0.554588708583304,0.5416666666666666,0.5386988035766092,0.5416666666666666,0.5400068284735813,0.5220588235294118,0.5240816698319939,0.5220588235294118,0.5140733824473516
Random Forest,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8529411764705882,0.855208086057781,0.8529411764705882,0.8464024989990893
SVM,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9019607843137255,0.905300588654593,0.9019607843137255,0.8980877511067475
XGBoost,Mol Subtype,0.9959150326797386,0.9959199371699906,0.9959150326797386,0.9959083837363893,0.9950980392156863,0.9951476805943326,0.9950980392156863,0.9950985872074634,,,,
