Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.616361071932299,0.616334826640975,0.616361071932299,0.616269448643159,0.5889830508474576,0.5890780245470485,0.5889830508474576,0.5890199656638927,0.6582278481012658,0.658397684444075,0.6582278481012658,0.658301052310508
Decision Tree,ER,0.9858956276445698,0.9861401942120099,0.9858956276445698,0.9858922591412926,0.9915254237288136,0.991663221716963,0.9915254237288136,0.9915229864046056,0.7426160337552743,0.7547309781859297,0.7426160337552743,0.7415602219477463
Logistic Regression,ER,0.6727785613540197,0.6733552289052441,0.6727785613540197,0.6722933250661448,0.6228813559322034,0.6248520312079634,0.6228813559322034,0.6225087826817908,0.6877637130801688,0.689776046738072,0.6877637130801688,0.6879861669750961
Random Forest,ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8438818565400844,0.8563863407301116,0.8438818565400844,0.8434143786307847
SVM,ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.890295358649789,0.8982744938644369,0.890295358649789,0.8902015939990624
XGBoost,ER,0.998589562764457,0.9985935696884217,0.998589562764457,0.9985895796006403,1.0,1.0,1.0,1.0,,,,
Naive Bayes,PR,0.598694942903752,0.6132964353775844,0.598694942903752,0.5869423498396096,0.6225490196078431,0.6504877203406615,0.6225490196078431,0.6147311992677423,0.5560975609756098,0.5471236333052986,0.5560975609756098,0.5367253022495893
Decision Tree,PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.624390243902439,0.6352103705368851,0.624390243902439,0.624390243902439
Logistic Regression,PR,0.6378466557911908,0.6378416507783576,0.6378466557911908,0.637783026753587,0.6617647058823529,0.6650735294117648,0.6617647058823529,0.6621306645809968,0.5560975609756098,0.5622251042407508,0.5560975609756098,0.5569221671878058
Random Forest,PR,0.99836867862969,0.9983740272243468,0.99836867862969,0.9983686959955808,1.0,1.0,1.0,1.0,0.7365853658536585,0.7505025384997982,0.7365853658536585,0.7364600019501051
SVM,PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8341463414634146,0.8624789386726865,0.8341463414634146,0.8279933816903281
XGBoost,PR,0.9967373572593801,0.9967373572593801,0.9967373572593801,0.9967373572593801,1.0,1.0,1.0,1.0,,,,
Naive Bayes,HER2,0.5883116883116883,0.589907409636933,0.5883116883116883,0.5872645071580298,0.556420233463035,0.5577945623252376,0.556420233463035,0.5543561305348064,0.5758754863813229,0.575159120138237,0.5758754863813229,0.5735434590585682
Decision Tree,HER2,0.961038961038961,0.9610493023431906,0.961038961038961,0.9610376465639624,0.9610894941634242,0.9615321094250625,0.9610894941634242,0.9610777073871498,0.7470817120622568,0.753879713023682,0.7470817120622568,0.7463530509042685
Logistic Regression,HER2,0.7,0.7010544217687075,0.7,0.6993866877247924,0.6459143968871596,0.6472835320159835,0.6459143968871596,0.6449357994084336,0.6381322957198443,0.6415163852562347,0.6381322957198443,0.6376389369361923
Random Forest,HER2,1.0,1.0,1.0,1.0,0.9961089494163424,0.9961388805746783,0.9961089494163424,0.9961088315860575,0.8482490272373541,0.8512635873738126,0.8482490272373541,0.8481984780451247
SVM,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9260700389105059,0.9294224376829467,0.9260700389105059,0.9260454123809583
XGBoost,HER2,0.990909090909091,0.9909907068307003,0.990909090909091,0.9909080939828445,0.9766536964980544,0.9771132991258112,0.9766536964980544,0.97664662443229,,,,
Naive Bayes,Mol Subtype,0.3888888888888889,0.41942888952580476,0.3888888888888889,0.3560274877639476,0.3382352941176471,0.405628011028904,0.3382352941176471,0.29637344403064736,0.3431372549019608,0.34798232142448227,0.3431372549019608,0.31232859342852315
Decision Tree,Mol Subtype,0.9983660130718954,0.998376420631947,0.9983660130718954,0.9983672760330383,1.0,1.0,1.0,1.0,0.6740196078431373,0.6702100879127444,0.6740196078431373,0.668272164755989
Logistic Regression,Mol Subtype,0.5367647058823529,0.5363083626447772,0.5367647058823529,0.5323912497714941,0.571078431372549,0.5693734880315763,0.571078431372549,0.5693184262902259,0.5024509803921569,0.5105366725992987,0.5024509803921569,0.499204650062346
Random Forest,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8529411764705882,0.8562458914561245,0.8529411764705882,0.8457621957125545
SVM,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9068627450980392,0.9094090998029433,0.9068627450980392,0.9034969723704799
XGBoost,Mol Subtype,0.9959150326797386,0.9959177201582387,0.9959150326797386,0.9959150663812218,0.9950980392156863,0.9952012383900929,0.9950980392156863,0.9950962614252664,,,,
