Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.7124773960216998,0.6782315280961971,0.7124773960216998,0.689748517496958,0.7336956521739131,0.7023915461624027,0.7336956521739131,0.7112400455062572,0.6486486486486487,0.6141090755184715,0.6486486486486487,0.6276711706223099
Decision Tree,ER,0.7667269439421338,0.8221454047735607,0.7667269439421338,0.6814684909359432,0.7663043478260869,0.8218232044198895,0.7663043478260869,0.6795150662145736,0.7189189189189189,0.6172260172260172,0.7189189189189189,0.6153419242026837
KNN,ER,0.7540687160940326,0.7121675160282755,0.7540687160940326,0.6834737914649739,0.7391304347826086,0.625,0.7391304347826086,0.6467924528301888,0.6702702702702703,0.5379550070301515,0.6702702702702703,0.5891548132590478
Logistic Regression,ER,0.755877034358047,0.7544643894022596,0.755877034358047,0.6637748300307438,0.7554347826086957,0.7343462246777163,0.7554347826086957,0.6646087902245538,0.7243243243243244,0.6698274545732174,0.7243243243243244,0.6429242038376052
Random Forest,ER,0.7992766726943942,0.841715319039008,0.7992766726943942,0.7444330584421575,0.8043478260869565,0.8448275862068965,0.8043478260869565,0.7527472527472526,0.7189189189189189,0.6374174174174174,0.7189189189189189,0.6240636450827532
SVM,ER,0.7486437613019892,0.5604674813363897,0.7486437613019892,0.6410310593154571,0.75,0.5625,0.75,0.6428571428571428,0.7243243243243244,0.524645726807889,0.7243243243243244,0.6085232567991189
XGBoost,ER,0.9945750452079566,0.9946140736596979,0.9945750452079566,0.9945552468826242,1.0,1.0,1.0,1.0,,,,
Naive Bayes,PR,0.6419529837251357,0.6083468458219066,0.6419529837251357,0.6054385712631375,0.6630434782608695,0.6407270265965919,0.6630434782608695,0.6183008433661721,0.6162162162162163,0.5809491261546057,0.6162162162162163,0.5876079199085635
Decision Tree,PR,0.701627486437613,0.6900846014212434,0.701627486437613,0.6706891042396652,0.657608695652174,0.6354226732787452,0.657608695652174,0.6311621755662093,0.6270270270270271,0.5942993573130559,0.6270270270270271,0.5992245982209985
KNN,PR,0.6726943942133815,0.6502133498302719,0.6726943942133815,0.6376211554746928,0.6739130434782609,0.6637144390767579,0.6739130434782609,0.6180124223602484,0.6648648648648648,0.6360127869805289,0.6648648648648648,0.6248977006608829
Logistic Regression,PR,0.6726943942133815,0.6512774494894086,0.6726943942133815,0.6235650454897822,0.6521739130434783,0.6233859701113416,0.6521739130434783,0.6017643352236924,0.6648648648648648,0.6346552648439441,0.6648648648648648,0.6168554268554268
Random Forest,PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6216216216216216,0.591921591921592,0.6216216216216216,0.5981217066122726
SVM,PR,0.7106690777576854,0.7570529607276569,0.7106690777576854,0.6461821376020224,0.7010869565217391,0.769890864284457,0.7010869565217391,0.6282276386225442,0.654054054054054,0.6116200032367697,0.654054054054054,0.5846480626968431
XGBoost,PR,0.9113924050632911,0.9177949449822123,0.9113924050632911,0.9085508846840744,0.9347826086956522,0.93848262810559,0.9347826086956522,0.9334353215235645,,,,
Naive Bayes,HER2,0.6835443037974683,0.7498083289218561,0.6835443037974683,0.7093077576906267,0.6956521739130435,0.7681180294196845,0.6956521739130435,0.7237191263523168,0.6702702702702703,0.7614518129315848,0.6702702702702703,0.7044443459813927
Decision Tree,HER2,0.8535262206148282,0.8480928056005803,0.8535262206148282,0.8207247143317855,0.8641304347826086,0.8655508893280632,0.8641304347826086,0.8288155723400866,0.8,0.7395953757225433,0.8,0.761624351041889
KNN,HER2,0.8318264014466547,0.8148223885950138,0.8318264014466547,0.7802487544977594,0.8369565217391305,0.8025382560116591,0.8369565217391305,0.7844639427274316,0.8162162162162162,0.7272072072072072,0.8162162162162162,0.7570031108953266
Logistic Regression,HER2,0.8173598553345389,0.6680771331124984,0.8173598553345389,0.7352172231068888,0.8315217391304348,0.6914284026465028,0.8315217391304348,0.7550316088246679,0.8324324324324325,0.6929437545653763,0.8324324324324325,0.7563102925934785
Random Forest,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.827027027027027,0.7510741510741511,0.827027027027027,0.7630100688924218
SVM,HER2,0.8173598553345389,0.6680771331124984,0.8173598553345389,0.7352172231068888,0.8315217391304348,0.6914284026465028,0.8315217391304348,0.7550316088246679,0.8324324324324325,0.6929437545653763,0.8324324324324325,0.7563102925934785
XGBoost,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Naive Bayes,Mol Subtype,0.30198915009041594,0.5941428477299802,0.30198915009041594,0.3360563111823372,0.33152173913043476,0.6956308756079923,0.33152173913043476,0.3948441789744784,0.23783783783783785,0.49282275623739047,0.23783783783783785,0.2677489838405869
Decision Tree,Mol Subtype,0.6871609403254972,0.7370821174143045,0.6871609403254972,0.5993375014980737,0.6902173913043478,0.6693922924901186,0.6902173913043478,0.5898362627805718,0.6054054054054054,0.5413324952859836,0.6054054054054054,0.503208111449254
KNN,Mol Subtype,0.6781193490054249,0.6883546511610561,0.6781193490054249,0.5851389608444089,0.6956521739130435,0.663957509881423,0.6956521739130435,0.59913642553342,0.6108108108108108,0.46045045045045047,0.6108108108108108,0.4816783841268187
Logistic Regression,Mol Subtype,0.6528028933092225,0.4900127743583788,0.6528028933092225,0.5250229286763309,0.6630434782608695,0.5250537505972288,0.6630434782608695,0.5380283094098883,0.6216216216216216,0.5461997909511721,0.6216216216216216,0.4896708331924279
Random Forest,Mol Subtype,0.6962025316455697,0.7928653624856157,0.6962025316455697,0.6072237294729369,0.7010869565217391,0.6907086710881847,0.7010869565217391,0.6065120161292183,0.6162162162162163,0.48951951951951955,0.6162162162162163,0.4866458515605273
SVM,Mol Subtype,0.650994575045208,0.4237939367382909,0.650994575045208,0.5133801687103503,0.6630434782608695,0.43962665406427215,0.6630434782608695,0.5287013356067064,0.6108108108108108,0.3730898466033601,0.6108108108108108,0.4632323598766552
XGBoost,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
