Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.7739602169981917,0.7526373075678916,0.7739602169981917,0.7551255508918931,0.7101449275362319,0.697270845096932,0.7101449275362319,0.7023302074452971,0.7272727272727273,0.7014820865912008,0.7272727272727273,0.7102429251189581
Decision Tree,ER,0.9620253164556962,0.9633259761647225,0.9620253164556962,0.9610583488604202,0.9565217391304348,0.9590062111801243,0.9565217391304348,0.9553495311167945,0.9134199134199135,0.9118097916980598,0.9134199134199135,0.9117965367965368
KNN,ER,0.9638336347197106,0.9645743306333354,0.9638336347197106,0.9630721273721787,0.9420289855072463,0.9415713604262894,0.9420289855072463,0.9415560640732265,0.974025974025974,0.9741944600701663,0.974025974025974,0.9737105751391464
Logistic Regression,ER,0.9783001808318263,0.9784221266819809,0.9783001808318263,0.978082528915307,0.9782608695652174,0.9782151029748284,0.9782608695652174,0.9781743273113166,0.987012987012987,0.9871345642926249,0.987012987012987,0.987049665310535
Random Forest,ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.9519529712711531,0.9523809523809523,0.9519535075231501
SVM,ER,0.9819168173598554,0.9823433075164624,0.9819168173598554,0.9816873394338924,0.9855072463768116,0.9857942315970728,0.9855072463768116,0.9853890160183066,0.9913419913419913,0.9914409400123686,0.9913419913419913,0.9912909232328471
XGBoost,ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Naive Bayes,PR,0.6962025316455697,0.6811855564556163,0.6962025316455697,0.6728673994718386,0.6304347826086957,0.6159748180208537,0.6304347826086957,0.6075853799351602,0.6493506493506493,0.6204348138049796,0.6493506493506493,0.6272919958379899
Decision Tree,PR,0.8896925858951176,0.8951162299230409,0.8896925858951176,0.8859347938527856,0.8478260869565217,0.8596384205856256,0.8478260869565217,0.8421179058624221,0.8787878787878788,0.8777487572668295,0.8787878787878788,0.8763410502540937
KNN,PR,0.8842676311030742,0.8905056352313736,0.8842676311030742,0.8799685497349533,0.8768115942028986,0.88704494478951,0.8768115942028986,0.8730300230291467,0.9047619047619048,0.9088912664001352,0.9047619047619048,0.9013989287014406
Logistic Regression,PR,0.8969258589511754,0.9059918118273061,0.8969258589511754,0.8927690073974531,0.8840579710144928,0.9027960767091202,0.8840579710144928,0.8792869172147618,0.8961038961038961,0.8953474628756756,0.8961038961038961,0.8944759465886225
Random Forest,PR,0.9981916817359855,0.9981967048422744,0.9981916817359855,0.998190602930611,1.0,1.0,1.0,1.0,0.8831168831168831,0.8834230285843189,0.8831168831168831,0.8799089961133756
