Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.8028933092224232,0.7888424424442548,0.8028933092224232,0.7889394706646548,0.8097826086956522,0.7985139022051774,0.8097826086956522,0.800511894007829,0.7405405405405405,0.7289542408441853,0.7405405405405405,0.7332599944995875
Decision Tree,ER,0.9674502712477396,0.9683589092924445,0.9674502712477396,0.9667649146349608,0.9782608695652174,0.9788732394366199,0.9782608695652174,0.977922077922078,0.9405405405405406,0.9402402402402403,0.9405405405405406,0.9403567062222148
KNN,ER,0.9511754068716094,0.9507784503189791,0.9511754068716094,0.9508748276052666,0.9402173913043478,0.9420634920634919,0.9402173913043478,0.9408328513591672,0.9567567567567568,0.9567767582568693,0.9567567567567568,0.9561922066123746
Logistic Regression,ER,0.9819168173598554,0.9823433075164624,0.9819168173598554,0.9816873394338924,0.9836956521739131,0.9840425531914893,0.9836956521739131,0.983508517578833,1.0,1.0,1.0,1.0
Random Forest,ER,0.9945750452079566,0.9946140736596979,0.9945750452079566,0.9945552468826242,0.9891304347826086,0.9892857142857143,0.9891304347826086,0.9890487609912072,0.918918918918919,0.9179255890234933,0.918918918918919,0.9175717010768557
SVM,ER,0.9819168173598554,0.9823433075164624,0.9819168173598554,0.9816873394338924,0.9836956521739131,0.9840425531914893,0.9836956521739131,0.983508517578833,1.0,1.0,1.0,1.0
XGBoost,ER,0.9819168173598554,0.9823433075164624,0.9819168173598554,0.9816873394338924,0.9836956521739131,0.9840425531914893,0.9836956521739131,0.983508517578833,,,,
Naive Bayes,PR,0.701627486437613,0.6885026787173836,0.701627486437613,0.6869092102983734,0.6739130434782609,0.6591671994884911,0.6739130434782609,0.6597235986233985,0.6972972972972973,0.6931171171171172,0.6972972972972973,0.6948759932237509
Decision Tree,PR,0.8788426763110307,0.883301746897049,0.8788426763110307,0.8747152653792889,0.8967391304347826,0.9039622714074188,0.8967391304347826,0.893205328074547,0.8540540540540541,0.8536375998640149,0.8540540540540541,0.8503660851486938
KNN,PR,0.8806509945750453,0.8931602510779377,0.8806509945750453,0.8746229563207248,0.875,0.8905275779376498,0.875,0.8682826795667262,0.9027027027027027,0.9044754678342466,0.9027027027027027,0.9005104377985734
Logistic Regression,PR,0.8770343580470162,0.8903682333240082,0.8770343580470162,0.8705291062821513,0.875,0.8953900709219859,0.875,0.8673621196556975,0.9243243243243243,0.9294170978381504,0.9243243243243243,0.9221976796236909
Random Forest,PR,0.9204339963833634,0.9291211034779837,0.9204339963833634,0.9176426541030326,0.907608695652174,0.9192431561996779,0.907608695652174,0.9038838288365699,0.8972972972972973,0.8995665476797552,0.8972972972972973,0.8947020599194513
SVM,PR,0.9095840867992767,0.9172721765780157,0.9095840867992767,0.9064121069352642,0.9130434782608695,0.9234263465282284,0.9130434782608695,0.909807001261274,0.9081081081081082,0.9110487846336903,0.9081081081081082,0.9057860536121405
XGBoost,PR,0.9710669077757685,0.9723013863773358,0.9710669077757685,0.9707600377929033,0.9728260869565217,0.9739307175680452,0.9728260869565217,0.9725730544731881,,,,
Naive Bayes,HER2,0.8173598553345389,0.7921520460513474,0.8173598553345389,0.7992870255043945,0.7771739130434783,0.7418146871686109,0.7771739130434783,0.7570097165186194,0.7945945945945946,0.7725319522420973,0.7945945945945946,0.7819794478022327
Decision Tree,HER2,0.9801084990958409,0.9799705332125896,0.9801084990958409,0.9799914597981384,0.9836956521739131,0.983585074345944,0.9836956521739131,0.9835885642910377,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.9459459459459459
KNN,HER2,0.8824593128390597,0.8854416330480095,0.8824593128390597,0.8628423461691767,0.8913043478260869,0.8946488294314381,0.8913043478260869,0.8720904699165568,0.8432432432432433,0.8140540540540541,0.8432432432432433,0.808101095387032
Logistic Regression,HER2,0.8173598553345389,0.6680771331124984,0.8173598553345389,0.7352172231068888,0.8315217391304348,0.6914284026465028,0.8315217391304348,0.7550316088246679,0.8324324324324325,0.6929437545653763,0.8324324324324325,0.7563102925934785
Random Forest,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9243243243243243,0.9216201708955333,0.9243243243243243,0.9196766386639805
SVM,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9783783783783784,0.9782134920065955,0.9783783783783784,0.9780877651845393
XGBoost,HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Naive Bayes,Mol Subtype,0.9168173598553345,0.9211941929045255,0.9168173598553345,0.9179597788705588,0.8967391304347826,0.9056762212890349,0.8967391304347826,0.9001772935405445,0.8216216216216217,0.8602638523691156,0.8216216216216217,0.8363952422775952
Decision Tree,Mol Subtype,0.9855334538878843,0.985900219726752,0.9855334538878843,0.9853858586626107,0.9891304347826086,0.9894463591375044,0.9891304347826086,0.9890485080293522,0.9351351351351351,0.9341037577879684,0.9351351351351351,0.9335748142710807
KNN,Mol Subtype,0.9801084990958409,0.9802331417717907,0.9801084990958409,0.9796961026969269,0.9836956521739131,0.9837398373983739,0.9836956521739131,0.9836333005587664,0.9621621621621622,0.9636622757210991,0.9621621621621622,0.9612012193681887
Logistic Regression,Mol Subtype,0.9945750452079566,0.9949819168173599,0.9945750452079566,0.9946156266879593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9027027027027027,0.909727340977341,0.9027027027027027,0.8970522908138624
SVM,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,Mol Subtype,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
