Algorithm,Subtype,train_acc,val_acc,train_prec,val_prec,train_rec,val_rec,train_f1,val_f1,test_acc,test_prec,test_rec,test_f1,test_aucroc
Naive Bayes,ER,0.7197106690777577,0.7282608695652174,0.6719969000258331,0.680976430976431,0.7197106690777577,0.7282608695652174,0.6842231718980554,0.6911764705882353,0.6486486486486487,0.5829443376613188,0.6486486486486487,0.6066004837335897,0.5148522095405326
Naive Bayes,PR,0.6528028933092225,0.6467391304347826,0.6175689878221524,0.6140579710144927,0.6528028933092225,0.6467391304347826,0.5983956274048594,0.5933022400609907,0.6054054054054054,0.5358378378378379,0.6054054054054054,0.5463321852781647,0.4797262396694215
Naive Bayes,Mol Subtype,0.20614828209764918,0.25,0.6008438447289544,0.6347020144322172,0.20614828209764918,0.25,0.1983850342049387,0.28220221197769313,0.15675675675675677,0.34254741397598537,0.15675675675675677,0.15545127240475237,
Naive Bayes,HER2,0.47920433996383366,0.41847826086956524,0.766069873946019,0.7260588455772113,0.47920433996383366,0.41847826086956524,0.5264771292545831,0.47477419061269993,0.4648648648648649,0.7534316134316134,0.4648648648648649,0.5224736396714469,0.5950984499371597
Logistic Regression,ER,0.7703435804701627,0.7445652173913043,0.7584913459054508,0.6811111111111111,0.7703435804701627,0.7445652173913043,0.7075945803797659,0.673743828056927,0.7189189189189189,0.6534193284193284,0.7189189189189189,0.6395815170008717,0.5458004097161253
Logistic Regression,PR,0.7233273056057866,0.657608695652174,0.7237614705969136,0.6323330270348696,0.7233273056057866,0.657608695652174,0.6906872942543842,0.6141348354163,0.6108108108108108,0.5526449106066941,0.6108108108108108,0.559864399901935,0.4864411157024793
Logistic Regression,HER2,0.8318264014466547,0.8206521739130435,0.8432514428248395,0.7350543478260869,0.8318264014466547,0.8206521739130435,0.7705807273010378,0.7587460130938392,0.8432432432432433,0.8680844779205436,0.8432432432432433,0.7811100012880428,0.4379974863845832
Logistic Regression,Mol Subtype,0.6781193490054249,0.625,0.6527034931509468,0.44590643274853803,0.6781193490054249,0.625,0.5920498828925174,0.5204778156996587,0.6162162162162163,0.5431511056511057,0.6162162162162163,0.5070601633069425,
Decision Tree,ER,0.7685352622061483,0.7336956521739131,0.8231985213161354,0.5593922651933702,0.7685352622061483,0.7336956521739131,0.6852725213807783,0.6347962382445143,0.7189189189189189,0.6374174174174174,0.7189189189189189,0.6240636450827532,0.48778167983611354
Decision Tree,PR,0.7450271247739603,0.6467391304347826,0.7809338515922796,0.6124367242216213,0.7450271247739603,0.6467391304347826,0.7033383943798673,0.5784072731873514,0.6594594594594595,0.6231054583995761,0.6594594594594595,0.5825197244745726,0.5003873966942148
