Feature,Importance
original_shape_LeastAxisLength,0.044488713
original_glcm_SumSquares,0.03795073
original_shape_SurfaceVolumeRatio,0.034648623
original_glcm_MaximumProbability,0.027635165
original_glcm_ClusterProminence,0.026805284
original_shape_MajorAxisLength,0.024824249
original_firstorder_Maximum,0.022420648
original_glszm_GrayLevelNonUniformity,0.022062508
original_glcm_JointEntropy,0.019876303
original_shape_MinorAxisLength,0.019023163
original_glrlm_ShortRunEmphasis,0.018393453
original_glszm_LargeAreaEmphasis,0.017452057
original_glcm_Imc1,0.017064247
original_gldm_DependenceVariance,0.016755413
original_firstorder_Variance,0.016256075
original_glszm_SmallAreaHighGrayLevelEmphasis,0.016197074
original_glszm_LargeAreaHighGrayLevelEmphasis,0.015724117
original_gldm_DependenceNonUniformityNormalized,0.015651654
original_firstorder_InterquartileRange,0.015362923
original_ngtdm_Busyness,0.015070393
original_glszm_ZoneVariance,0.015028721
original_firstorder_Minimum,0.014512557
original_glszm_ZonePercentage,0.014222658
original_firstorder_90Percentile,0.014210728
original_glszm_LargeAreaLowGrayLevelEmphasis,0.014130399
original_glszm_SizeZoneNonUniformityNormalized,0.013779864
original_shape_Maximum2DDiameterSlice,0.013487235
original_firstorder_Kurtosis,0.013173308
original_glcm_MCC,0.013000901
original_glszm_ZoneEntropy,0.01287662
original_glrlm_LongRunHighGrayLevelEmphasis,0.0125480555
original_glrlm_RunLengthNonUniformityNormalized,0.011701042
original_glszm_HighGrayLevelZoneEmphasis,0.011691293
original_glrlm_ShortRunHighGrayLevelEmphasis,0.011316459
original_gldm_SmallDependenceEmphasis,0.011266175
original_firstorder_RootMeanSquared,0.0111447135
original_glrlm_HighGrayLevelRunEmphasis,0.011075037
original_firstorder_Range,0.010998559
original_glcm_DifferenceEntropy,0.010702488
original_glcm_ClusterShade,0.010642386
original_shape_Flatness,0.010610988
original_glrlm_RunLengthNonUniformity,0.010602521
original_glrlm_RunEntropy,0.010506143
original_gldm_DependenceNonUniformity,0.010308013
original_firstorder_TotalEnergy,0.009953126
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.009781122
original_shape_Maximum2DDiameterRow,0.009461074
original_glrlm_RunVariance,0.009447743
original_shape_Sphericity,0.0093325265
original_glrlm_GrayLevelNonUniformity,0.0092603015
original_ngtdm_Contrast,0.009066296
original_firstorder_Median,0.009046949
original_glszm_GrayLevelNonUniformityNormalized,0.008790612
original_gldm_GrayLevelNonUniformity,0.008769804
original_glcm_Correlation,0.0087258555
original_firstorder_RobustMeanAbsoluteDeviation,0.008715895
original_glszm_SmallAreaEmphasis,0.00857572
original_glszm_SmallAreaLowGrayLevelEmphasis,0.008421036
original_firstorder_Skewness,0.008214845
original_firstorder_Energy,0.008168785
original_shape_Elongation,0.007619023
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.00715001
original_firstorder_10Percentile,0.006928089
original_glcm_ClusterTendency,0.006750532
original_glcm_SumEntropy,0.0064328643
original_gldm_LargeDependenceEmphasis,0.006236524
original_glrlm_GrayLevelNonUniformityNormalized,0.006096593
original_firstorder_Entropy,0.006034004
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.005731574
original_gldm_DependenceEntropy,0.0055614715
original_glrlm_ShortRunLowGrayLevelEmphasis,0.005271788
original_glcm_Autocorrelation,0.004673573
original_ngtdm_Strength,0.004509023
original_shape_Maximum2DDiameterColumn,0.0044735223
original_glszm_SizeZoneNonUniformity,0.004423972
original_ngtdm_Coarseness,0.0041984506
original_firstorder_Mean,0.004078666
original_glrlm_LongRunEmphasis,0.0037167536
original_firstorder_MeanAbsoluteDeviation,0.0031681026
original_shape_Maximum3DDiameter,0.0031461413
original_glcm_Imc2,0.003138701
original_glcm_JointEnergy,0.0029521356
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.0022394494
original_glcm_Contrast,0.0014834629
original_glrlm_LongRunLowGrayLevelEmphasis,0.001402955
original_glrlm_RunPercentage,0.0009510331
original_ngtdm_Complexity,0.000700195
original_shape_MeshVolume,0.0
original_shape_SurfaceArea,0.0
original_shape_VoxelVolume,0.0
original_firstorder_Uniformity,0.0
original_glcm_DifferenceAverage,0.0
original_glcm_DifferenceVariance,0.0
original_glcm_Id,0.0
original_glcm_Idm,0.0
original_glcm_Idmn,0.0
original_glcm_Idn,0.0
original_glcm_InverseVariance,0.0
original_glcm_JointAverage,0.0
original_glcm_SumAverage,0.0
original_gldm_GrayLevelVariance,0.0
original_gldm_HighGrayLevelEmphasis,0.0
original_gldm_LowGrayLevelEmphasis,0.0
original_glrlm_GrayLevelVariance,0.0
original_glrlm_LowGrayLevelRunEmphasis,0.0
original_glszm_GrayLevelVariance,0.0
original_glszm_LowGrayLevelZoneEmphasis,0.0
