Feature,Importance
original_glszm_ZoneVariance,0.023607181
original_glrlm_LongRunEmphasis,0.022318022
original_gldm_GrayLevelNonUniformity,0.021103898
original_glcm_JointAverage,0.019266447
original_shape_Maximum3DDiameter,0.019244056
original_glcm_ClusterShade,0.01849463
original_glcm_SumSquares,0.017933117
original_glszm_SizeZoneNonUniformity,0.016695771
original_glszm_LargeAreaLowGrayLevelEmphasis,0.015637456
original_glcm_Imc2,0.015373427
original_ngtdm_Busyness,0.014866144
original_glcm_JointEntropy,0.014725402
original_firstorder_Mean,0.014721024
original_glrlm_GrayLevelNonUniformityNormalized,0.01409282
original_firstorder_Median,0.013920797
original_shape_MajorAxisLength,0.0137383845
original_glcm_SumEntropy,0.013718637
original_glrlm_ShortRunEmphasis,0.01344616
original_firstorder_Range,0.0134043675
original_glcm_ClusterProminence,0.013157255
original_firstorder_Variance,0.013084347
original_firstorder_InterquartileRange,0.012926078
original_firstorder_Energy,0.012863299
original_firstorder_Minimum,0.01284341
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.012839619
original_glcm_Autocorrelation,0.012399253
original_glrlm_ShortRunLowGrayLevelEmphasis,0.012313293
original_glszm_LargeAreaEmphasis,0.012238231
original_shape_Maximum2DDiameterSlice,0.012180147
original_firstorder_90Percentile,0.012176023
original_gldm_DependenceVariance,0.012102113
original_glszm_HighGrayLevelZoneEmphasis,0.012083922
original_glrlm_LongRunLowGrayLevelEmphasis,0.011983315
original_glrlm_RunEntropy,0.011908748
original_glrlm_GrayLevelNonUniformity,0.011905584
original_glszm_SmallAreaEmphasis,0.011898113
original_firstorder_TotalEnergy,0.011895797
original_shape_LeastAxisLength,0.011845855
original_shape_MinorAxisLength,0.011653964
original_shape_Maximum2DDiameterColumn,0.011557055
original_gldm_SmallDependenceEmphasis,0.011447182
original_glszm_ZonePercentage,0.011391983
original_shape_MeshVolume,0.011358026
original_firstorder_RootMeanSquared,0.011145111
original_glszm_GrayLevelNonUniformityNormalized,0.010933795
original_ngtdm_Strength,0.010765281
original_glrlm_HighGrayLevelRunEmphasis,0.010743374
original_gldm_DependenceNonUniformityNormalized,0.010555097
original_glcm_Contrast,0.010427695
original_glszm_ZoneEntropy,0.010385055
original_firstorder_10Percentile,0.010264028
original_firstorder_Skewness,0.010169993
original_glszm_LargeAreaHighGrayLevelEmphasis,0.009975458
original_shape_Elongation,0.00989028
original_glcm_Correlation,0.009846194
original_glszm_SizeZoneNonUniformityNormalized,0.009836521
original_shape_Flatness,0.009765011
original_glcm_JointEnergy,0.009756598
original_glszm_SmallAreaLowGrayLevelEmphasis,0.009738254
original_firstorder_Entropy,0.009493129
original_firstorder_RobustMeanAbsoluteDeviation,0.009309261
original_glszm_SmallAreaHighGrayLevelEmphasis,0.009150066
original_glrlm_RunLengthNonUniformity,0.009145282
original_glcm_ClusterTendency,0.009136379
original_gldm_HighGrayLevelEmphasis,0.009009764
original_ngtdm_Contrast,0.008956184
original_firstorder_Kurtosis,0.00870186
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.008656449
original_firstorder_Maximum,0.008646591
original_glszm_GrayLevelNonUniformity,0.008598198
original_glcm_Imc1,0.0085739065
original_glrlm_LongRunHighGrayLevelEmphasis,0.0078257555
original_glrlm_ShortRunHighGrayLevelEmphasis,0.007825415
original_gldm_DependenceEntropy,0.0077434327
original_gldm_LargeDependenceEmphasis,0.0075400304
original_firstorder_MeanAbsoluteDeviation,0.007188215
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.0071876724
original_glrlm_RunLengthNonUniformityNormalized,0.0071756705
original_gldm_DependenceNonUniformity,0.00717279
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0071083866
original_shape_Maximum2DDiameterRow,0.0069064954
original_shape_Sphericity,0.0068242303
original_glrlm_RunVariance,0.006807942
original_glcm_MaximumProbability,0.0060884096
original_glrlm_RunPercentage,0.006013248
original_shape_SurfaceVolumeRatio,0.0051555955
original_shape_SurfaceArea,0.0046167807
original_glcm_DifferenceEntropy,0.0043683047
original_ngtdm_Coarseness,0.0023683256
original_ngtdm_Complexity,0.0021562949
original_glcm_MCC,0.0019918776
original_shape_VoxelVolume,0.0
original_firstorder_Uniformity,0.0
original_glcm_DifferenceAverage,0.0
original_glcm_DifferenceVariance,0.0
original_glcm_Id,0.0
original_glcm_Idm,0.0
original_glcm_Idmn,0.0
original_glcm_Idn,0.0
original_glcm_InverseVariance,0.0
original_glcm_SumAverage,0.0
original_gldm_GrayLevelVariance,0.0
original_gldm_LowGrayLevelEmphasis,0.0
original_glrlm_GrayLevelVariance,0.0
original_glrlm_LowGrayLevelRunEmphasis,0.0
original_glszm_GrayLevelVariance,0.0
original_glszm_LowGrayLevelZoneEmphasis,0.0
